=== ppl_streaming start 2026-08-16 00:27:42 ===
corpus /Users/kk/work/research/dsv4-streaming/streaming/../logs/ppl_corpus.npy (200,000 tokens, 195 windows available); running first 195 windows x 1024 tokens; cache 8.0 GB, store lru
[store] prefill (get_many) reads: page-cached; insert policy: fill-no-evict
[load] resident weights in 0.9s (9.4 GB active)
[load] done in 0.9s
[win 17/195] nll_sum 1849.43 over 1023 tok  ppl 6.0973  cumulative ppl 4.1266  82s (12.53 tok/s)  store {'hits': 9039, 'misses': 142987, 'hit_rate': 0.0595, 'read_gb': 2024.09, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 142422}  mem peak 25.3 GB
[win 18/195] nll_sum 2093.95 over 1023 tok  ppl 7.7437  cumulative ppl 4.2735  86s (11.93 tok/s)  store {'hits': 9604, 'misses': 151405, 'hit_rate': 0.0596, 'read_gb': 2143.26, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 150840}  mem peak 25.3 GB
[win 19/195] nll_sum 2015.43 over 1023 tok  ppl 7.1715  cumulative ppl 4.3915  88s (11.69 tok/s)  store {'hits': 10169, 'misses': 160080, 'hit_rate': 0.0597, 'read_gb': 2266.06, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 159515}  mem peak 25.3 GB
[win 20/195] nll_sum 1979.46 over 1023 tok  ppl 6.9237  cumulative ppl 4.4926  81s (12.68 tok/s)  store {'hits': 10734, 'misses': 168633, 'hit_rate': 0.0598, 'read_gb': 2387.13, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 168068}  mem peak 25.3 GB
[win 21/195] nll_sum 2035.02 over 1023 tok  ppl 7.3102  cumulative ppl 4.5980  85s (12.06 tok/s)  store {'hits': 11299, 'misses': 177385, 'hit_rate': 0.0599, 'read_gb': 2511.02, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 176820}  mem peak 25.3 GB
[win 22/195] nll_sum 1839.11 over 1023 tok  ppl 6.0361  cumulative ppl 4.6552  87s (11.77 tok/s)  store {'hits': 11864, 'misses': 185505, 'hit_rate': 0.0601, 'read_gb': 2625.97, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 184940}  mem peak 25.3 GB
[win 23/195] nll_sum 2605.45 over 1023 tok  ppl 12.7671  cumulative ppl 4.8640  78s (13.19 tok/s)  store {'hits': 12429, 'misses': 193684, 'hit_rate': 0.0603, 'read_gb': 2741.75, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 193119}  mem peak 25.3 GB
[win 24/195] nll_sum 867.71 over 1023 tok  ppl 2.3354  cumulative ppl 4.7175  80s (12.76 tok/s)  store {'hits': 12993, 'misses': 201617, 'hit_rate': 0.0605, 'read_gb': 2854.05, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 201052}  mem peak 25.3 GB
[win 25/195] nll_sum 1785.48 over 1023 tok  ppl 5.7278  cumulative ppl 4.7543  82s (12.48 tok/s)  store {'hits': 13558, 'misses': 209998, 'hit_rate': 0.0606, 'read_gb': 2972.68, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 209433}  mem peak 25.3 GB
[win 26/195] nll_sum 2186.58 over 1023 tok  ppl 8.4775  cumulative ppl 4.8612  81s (12.59 tok/s)  store {'hits': 14123, 'misses': 218282, 'hit_rate': 0.0608, 'read_gb': 3089.95, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 217717}  mem peak 25.3 GB
